"","name","rating","reviews","address","locality","phone_number","price","cusine"
"82","Caffe Luna","4.0","270","136 E Hargett St","Raleigh, NC 27601-1440","919-832-6090","$$ - $$$","Italian"
"83","Caffe Luna","4.0","270","136 E Hargett St","Raleigh, NC 27601-1440","919-832-6090","$$ - $$$","Vegan Options"
"84","Caffe Luna","4.0","270","136 E Hargett St","Raleigh, NC 27601-1440","919-832-6090","$$ - $$$","Vegetarian Friendly"
"85","Metro Diner","4.5","113","6325 Falls of Neuse Road","Raleigh, NC 27615-6877","919-578-9053","$$ - $$$","American"
"86","Metro Diner","4.5","113","6325 Falls of Neuse Road","Raleigh, NC 27615-6877","919-578-9053","$$ - $$$","Vegetarian Friendly"
"87","Fleming's Prime Steakhouse & Wine Bar","4.0","191","4325 Glenwood Ave","Raleigh, NC 27612-4532","919-571-6200","$$$$","American"
"88","Fleming's Prime Steakhouse & Wine Bar","4.0","191","4325 Glenwood Ave","Raleigh, NC 27612-4532","919-571-6200","$$$$","Steakhouse"
"89","Fleming's Prime Steakhouse & Wine Bar","4.0","191","4325 Glenwood Ave","Raleigh, NC 27612-4532","919-571-6200","$$$$","Gluten Free Options"
"90","Tupelo Honey","4.0","401","425 Oberlin Rd","Raleigh, NC 27605-1328","919-723-9353","$$ - $$$","American"
"91","Azitra Restaurant","4.5","151","8411 Brier Creek Pkwy","Raleigh, NC 27617-2007","919-484-3939","$$ - $$$","Indian"
"92","Azitra Restaurant","4.5","151","8411 Brier Creek Pkwy","Raleigh, NC 27617-2007","919-484-3939","$$ - $$$","Vegetarian Friendly"
"93","Azitra Restaurant","4.5","151","8411 Brier Creek Pkwy","Raleigh, NC 27617-2007","919-484-3939","$$ - $$$","Vegan Options"
"94","Raleigh Beer Garden","4.0","265","611 Glenwood Ave","Raleigh, NC 27603-1223","919-324-3415","$$ - $$$","American"
"95","Yard House","4.0","303","4208 Six Forks Rd","Raleigh, NC 27609-5733","919-881-2590","$$ - $$$","American"
"96","Yard House","4.0","303","4208 Six Forks Rd","Raleigh, NC 27609-5733","919-881-2590","$$ - $$$","Vegetarian Friendly"
"97","Gonza Tacos y Tequila","4.5","112","2100 Hillsborough St","Raleigh, NC 27607-7351","919-268-8965","$$ - $$$","Mexican"
"98","Humble Pie","4.0","159","317 S Harrington St","Raleigh, NC 27603-1817","919-829-9222","$$ - $$$","American"
"99","Humble Pie","4.0","159","317 S Harrington St","Raleigh, NC 27603-1817","919-829-9222","$$ - $$$","International"
"100","Humble Pie","4.0","159","317 S Harrington St","Raleigh, NC 27603-1817","919-829-9222","$$ - $$$","Vegetarian Friendly"
"101","Whiskey Kitchen","4.5","118","201 W Martin St","Raleigh, NC 27601","919-803-3181","$$ - $$$","American"
"102","Brasa Brazilian Steakhouse","4.0","288","8551 Brier Creek Pkwy","Raleigh, NC 27617-7333","919-544-3344","$$$$","Steakhouse"
"103","Brasa Brazilian Steakhouse","4.0","288","8551 Brier Creek Pkwy","Raleigh, NC 27617-7333","919-544-3344","$$$$","Vegetarian Friendly"
"104","Mojoe's Burger Joint","4.5","135","620 Glenwood Ave","Raleigh, NC 27603-1224","919-832-6799","$","American"
"105","Ole Time Barbecue","4.5","152","6309 Hillsborough St","Raleigh, NC 27606-1148","919-859-2544","$","American"
"106","Ole Time Barbecue","4.5","152","6309 Hillsborough St","Raleigh, NC 27606-1148","919-859-2544","$","Barbecue"
"107","Poppyseed Market","4.5","104","8801 Lead Mine Rd Ste 107","Raleigh, NC 27615-2750","919-870-4997","$$ - $$$","American"
"108","Poppyseed Market","4.5","104","8801 Lead Mine Rd Ste 107","Raleigh, NC 27615-2750","919-870-4997","$$ - $$$","Deli"
"109","Margaux's Restaurant","4.0","276","8111 Creedmoor Rd","Raleigh, NC 27613-4389","919-846-9846","$$$$","American"
"110","Margaux's Restaurant","4.0","276","8111 Creedmoor Rd","Raleigh, NC 27613-4389","919-846-9846","$$$$","International"
"111","Margaux's Restaurant","4.0","276","8111 Creedmoor Rd","Raleigh, NC 27613-4389","919-846-9846","$$$$","Vegetarian Friendly"
"112","Jimmy V's Osteria + Bar","4.0","292","420 Fayetteville St","Raleigh, NC 27601-1741","919-256-1451","$$ - $$$","Italian"
"113","Jimmy V's Osteria + Bar","4.0","292","420 Fayetteville St","Raleigh, NC 27601-1741","919-256-1451","$$ - $$$","American"
"114","Ajisai Japanese Fusion","4.5","69","427 Woodburn Rd","Raleigh, NC 27605-1323","919-831-9907","$$ - $$$","Sushi"
"115","Ajisai Japanese Fusion","4.5","69","427 Woodburn Rd","Raleigh, NC 27605-1323","919-831-9907","$$ - $$$","Asian"
"116","Ajisai Japanese Fusion","4.5","69","427 Woodburn Rd","Raleigh, NC 27605-1323","919-831-9907","$$ - $$$","Japanese"
"117","Vic's Italian Restaurant","4.0","151","331 Blake St","Raleigh, NC 27601-1801","919-829-7090","$$ - $$$","Italian"
"118","Vic's Italian Restaurant","4.0","151","331 Blake St","Raleigh, NC 27601-1801","919-829-7090","$$ - $$$","Pizza"
"119","Vic's Italian Restaurant","4.0","151","331 Blake St","Raleigh, NC 27601-1801","919-829-7090","$$ - $$$","Vegetarian Friendly"
"120","The Roast Grill Hot Weiners","4.5","125","7 S West St","Raleigh, NC 27603-1849","919-832-8292","$","American"
"121","The Roast Grill Hot Weiners","4.5","125","7 S West St","Raleigh, NC 27603-1849","919-832-8292","$","Fast Food"
"122","Backyard Bistro","4.0","271","1235 Hurricane Alley Way","Raleigh, NC 27607-3627","919-851-6203","$$ - $$$","American"
"123","Red Hot & Blue","4.5","122","6615 Falls of Neuse Rd","Raleigh, NC 27615-6816","919-846-7427","$$ - $$$","American"
"124","Red Hot & Blue","4.5","122","6615 Falls of Neuse Rd","Raleigh, NC 27615-6816","919-846-7427","$$ - $$$","Barbecue"
"125","Pam's Farmhouse","4.5","119","5111 Western Blvd","Raleigh, NC 27606-1639","919-859-9990","$","American"
"126","Pam's Farmhouse","4.5","119","5111 Western Blvd","Raleigh, NC 27606-1639","919-859-9990","$","Vegetarian Friendly"
"127","First Watch","4.0","121","6109 Glenwood Ave","Raleigh, NC 27612-2613","919-789-3347","$$ - $$$","American"
"128","First Watch","4.0","121","6109 Glenwood Ave","Raleigh, NC 27612-2613","919-789-3347","$$ - $$$","Healthy"
"129","First Watch","4.0","121","6109 Glenwood Ave","Raleigh, NC 27612-2613","919-789-3347","$$ - $$$","Vegetarian Friendly"
"130","D and S Cafeteria","4.5","79","1177 Buck Jones Rd","Raleigh, NC 27606-3324","919-462-8404","$","American"
"131","D and S Cafeteria","4.5","79","1177 Buck Jones Rd","Raleigh, NC 27606-3324","919-462-8404","$","Vegetarian Friendly"
"132","D and S Cafeteria","4.5","79","1177 Buck Jones Rd","Raleigh, NC 27606-3324","919-462-8404","$","Vegan Options"
"133","NOFO @ the Pig","4.0","146","2014 Fairview Rd","Raleigh, NC 27608-2316","919-821-1240","$$ - $$$","American"
"134","NOFO @ the Pig","4.0","146","2014 Fairview Rd","Raleigh, NC 27608-2316","919-821-1240","$$ - $$$","Vegetarian Friendly"
"135","NOFO @ the Pig","4.0","146","2014 Fairview Rd","Raleigh, NC 27608-2316","919-821-1240","$$ - $$$","Vegan Options"
"136","Trali Irish Pub and Restaurant","4.0","177","10370 Moncreiffe Rd","Raleigh, NC 27617-7822","919-544-4141","$$ - $$$","Irish"
"137","Simply Crepes Cafe - Raleigh","4.0","197","8470 Honeycutt Rd","Raleigh, NC 27615-2258","919-322-2327","$$ - $$$","International"
"138","Simply Crepes Cafe - Raleigh","4.0","197","8470 Honeycutt Rd","Raleigh, NC 27615-2258","919-322-2327","$$ - $$$","French"
"139","Simply Crepes Cafe - Raleigh","4.0","197","8470 Honeycutt Rd","Raleigh, NC 27615-2258","919-322-2327","$$ - $$$","American"
"140","The Remedy Diner","4.0","185","927-116 West Morgan St","Raleigh, NC 27603-2575","919-835-3553","$$ - $$$","American"
"141","The Remedy Diner","4.0","185","927-116 West Morgan St","Raleigh, NC 27603-2575","919-835-3553","$$ - $$$","Vegetarian Friendly"
"142","Hibernian Irish Pub & Restaurant","4.0","196","311 Glenwood Ave","Raleigh, NC 27603-1406","919-833-2258","$$ - $$$","Irish"
"143","Dos Taquitos Mexican Restaurant","4.0","150","5629 Creedmoor Rd","Raleigh, NC 27612-6316","919-787-3373","$$ - $$$","Mexican"
"144","Imperial Garden Chinese Restaurant","4.5","69","7713 Lead Mine Rd Ste 15","Raleigh, NC 27615-4805","919-846-1988","$$ - $$$","Chinese"
"145","Imperial Garden Chinese Restaurant","4.5","69","7713 Lead Mine Rd Ste 15","Raleigh, NC 27615-4805","919-846-1988","$$ - $$$","Asian"
"146","Imperial Garden Chinese Restaurant","4.5","69","7713 Lead Mine Rd Ste 15","Raleigh, NC 27615-4805","919-846-1988","$$ - $$$","Vegetarian Friendly"
"147","Parkside Restaurant","4.5","59","301 W Martin St","Raleigh, NC 27601","984-232-8969","$$ - $$$","Steakhouse"
"148","Parkside Restaurant","4.5","59","301 W Martin St","Raleigh, NC 27601","984-232-8969","$$ - $$$","American"
"149","Carolina Ale House","4.0","169","7981 Skyland Ridge Pkwy","Raleigh, NC 27617-8625","919-957-4200","$$ - $$$","American"
"150","Kimbap","4.0","79","111 Seaboard Ave","Raleigh, NC 27604-1151","919-900-8053","$$ - $$$","Asian"
"151","Kimbap","4.0","79","111 Seaboard Ave","Raleigh, NC 27604-1151","919-900-8053","$$ - $$$","Korean"
"152","Kimbap","4.0","79","111 Seaboard Ave","Raleigh, NC 27604-1151","919-900-8053","$$ - $$$","Gluten Free Options"
"153","Plates Neighborhood Kitchen","4.0","110","301 Glenwood Ave","Raleigh, NC 27603-2195","919-828-0018","$$ - $$$","American"
"154","Plates Neighborhood Kitchen","4.0","110","301 Glenwood Ave","Raleigh, NC 27603-2195","919-828-0018","$$ - $$$","Healthy"
"155","Nantucket Grilll","4.0","144","1145 Falls River Ave","Raleigh, NC 27614-7773",NA,"$$ - $$$","American"
"156","Nantucket Grilll","4.0","144","1145 Falls River Ave","Raleigh, NC 27614-7773",NA,"$$ - $$$","Vegetarian Friendly"
"157","Nantucket Grilll","4.0","144","1145 Falls River Ave","Raleigh, NC 27614-7773",NA,"$$ - $$$","Gluten Free Options"
"158","The Players Retreat","4.0","105","105 Oberlin Rd","Raleigh, NC 27605-1648","919-755-9589","$$ - $$$","American"
"159","Sunflowers Cafe","4.0","76","8 W Peace St","Raleigh, NC 27603-1126","919-833-4676","$$ - $$$","American"
"160","Sunflowers Cafe","4.0","76","8 W Peace St","Raleigh, NC 27603-1126","919-833-4676","$$ - $$$","Cafe"
"161","Sunflowers Cafe","4.0","76","8 W Peace St","Raleigh, NC 27603-1126","919-833-4676","$$ - $$$","Soups"
"162","Mura","4.0","192","4121 Main At North Hills St Ste 110","Raleigh, NC 27609-5756","919-781-7887","$$ - $$$","Japanese"
"163","Mura","4.0","192","4121 Main At North Hills St Ste 110","Raleigh, NC 27609-5756","919-781-7887","$$ - $$$","Sushi"
"164","Mura","4.0","192","4121 Main At North Hills St Ste 110","Raleigh, NC 27609-5756","919-781-7887","$$ - $$$","Asian"
"165","Red Pepper Asian","4.5","43","4121 New Bern Ave","Raleigh, NC 27610-0133","919-594-1006","$$ - $$$","Asian"
"166","Red Pepper Asian","4.5","43","4121 New Bern Ave","Raleigh, NC 27610-0133","919-594-1006","$$ - $$$","Chinese"
"167","Red Pepper Asian","4.5","43","4121 New Bern Ave","Raleigh, NC 27610-0133","919-594-1006","$$ - $$$","Thai"
"168","Waraji Japanese Restaurant & Sushi Bar in Raleigh NC","4.0","152","5910 Duraleigh Rd Ste 147","Raleigh, NC 27612-2580","919-783-1883","$$ - $$$","Japanese"
"169","Waraji Japanese Restaurant & Sushi Bar in Raleigh NC","4.0","152","5910 Duraleigh Rd Ste 147","Raleigh, NC 27612-2580","919-783-1883","$$ - $$$","Sushi"
"170","Waraji Japanese Restaurant & Sushi Bar in Raleigh NC","4.0","152","5910 Duraleigh Rd Ste 147","Raleigh, NC 27612-2580","919-783-1883","$$ - $$$","Asian"
"171","Capri Restaurant","4.5","83","6325 Falls of Neuse Rd Ste 17","Raleigh, NC 27615-6809","919-878-4424","$$ - $$$","Italian"
"172","Vinos Finos","4.5","66","8450 Honeycutt Rd","Raleigh, NC 27615-2264","919-747-9233","$$ - $$$","Spanish"
"173","Vinos Finos","4.5","66","8450 Honeycutt Rd","Raleigh, NC 27615-2264","919-747-9233","$$ - $$$","Argentinean"
"174","Marriott City Center","4.5","41","500 Fayetteville St","Raleigh, NC 27601-2118","919-833-1120","$$ - $$$","American"
"175","Mitch's Tavern","4.5","54","2426 Hillsborough St","Raleigh, NC 27607-7248","919-821-7771","$","American"
"176","Hibernian Irish Pub & Restaurant","4.0","119","8021 Falls of Neuse Rd","Raleigh, NC 27615-3314","919-803-0290","$$ - $$$","American"
"177","Hibernian Irish Pub & Restaurant","4.0","119","8021 Falls of Neuse Rd","Raleigh, NC 27615-3314","919-803-0290","$$ - $$$","Irish"
"178","Pho Far East","4.5","70","4011 Capital Blvd Ste 133","Raleigh, NC 27604-3486","919-876-8621","$$ - $$$","Asian"
"179","Pho Far East","4.5","70","4011 Capital Blvd Ste 133","Raleigh, NC 27604-3486","919-876-8621","$$ - $$$","Vietnamese"
"180","Pho Far East","4.5","70","4011 Capital Blvd Ste 133","Raleigh, NC 27604-3486","919-876-8621","$$ - $$$","Vegetarian Friendly"
"181","Soo Cafe","4.5","51","2815 Brentwood Rd","Raleigh, NC 27604-3225","919-876-1969","$","Asian"
"182","Soo Cafe","4.5","51","2815 Brentwood Rd","Raleigh, NC 27604-3225","919-876-1969","$","Korean"
"183","Mofu Shoppe","4.5","31","321 S Blount St","Raleigh, NC 27601-1803","919-301-8465","$$ - $$$","Asian"
"184","Mofu Shoppe","4.5","31","321 S Blount St","Raleigh, NC 27601-1803","919-301-8465","$$ - $$$","Vegetarian Friendly"
"185","Ruth's Chris Steak House","4.0","155","4381 Lassiter At North Hills Ave","Raleigh, NC 27609-5731","919-791-1103","$$$$","American"
"186","Ruth's Chris Steak House","4.0","155","4381 Lassiter At North Hills Ave","Raleigh, NC 27609-5731","919-791-1103","$$$$","Steakhouse"
"187","The Station at Person St","4.0","92","701 N Person St","Raleigh, NC 27604-1215","919-977-1567","$$ - $$$","American"
"188","The Station at Person St","4.0","92","701 N Person St","Raleigh, NC 27604-1215","919-977-1567","$$ - $$$","Vegetarian Friendly"
"189","Another Broken Egg Cafe","4.0","114","160 Park At North Hills St","Raleigh, NC 27609-5766","919-307-8195","$$ - $$$","American"
"190","Another Broken Egg Cafe","4.0","114","160 Park At North Hills St","Raleigh, NC 27609-5766","919-307-8195","$$ - $$$","Cafe"
"191","Another Broken Egg Cafe","4.0","114","160 Park At North Hills St","Raleigh, NC 27609-5766","919-307-8195","$$ - $$$","Vegetarian Friendly"
"192","The Oak","4.0","76","4035 Lake Boone Trl","Raleigh, NC 27607-2800","919-787-9100","$$ - $$$","American"
"193","The Melting Pot","4.0","135","3100 Wake Forest Rd","Raleigh, NC 27609-7846","919-878-0477","$$$$","American"
"194","The Melting Pot","4.0","135","3100 Wake Forest Rd","Raleigh, NC 27609-7846","919-878-0477","$$$$","Gluten Free Options"
"195","Slice of NY pizza","4.5","54","8301 Brier Creek Pkwy","Raleigh, NC 27617-7326","919-405-1301","$","Italian"
"196","Slice of NY pizza","4.5","54","8301 Brier Creek Pkwy","Raleigh, NC 27617-7326","919-405-1301","$","Pizza"
"197","Slice of NY pizza","4.5","54","8301 Brier Creek Pkwy","Raleigh, NC 27617-7326","919-405-1301","$","Vegetarian Friendly"
"198","Fresh Levant Bistro","4.5","40","8450 Honeycutt Road","Raleigh, NC 27615","984-200-3999","$$ - $$$","Vegetarian Friendly"
"199","Fresh Levant Bistro","4.5","40","8450 Honeycutt Road","Raleigh, NC 27615","984-200-3999","$$ - $$$","Vegan Options"
"200","Fresh Levant Bistro","4.5","40","8450 Honeycutt Road","Raleigh, NC 27615","984-200-3999","$$ - $$$","Gluten Free Options"
"201","Kickback Jack's","4.0","103","1405 Garner Station Blvd","Raleigh, NC 27603-3630","919-803-5068","$$ - $$$","American"
"202","Cafe Capistrano","4.5","67","8471 Garvey Dr","Raleigh, NC 27616-3369","919-872-1127","$$ - $$$","Mexican"
"203","Cafe Capistrano","4.5","67","8471 Garvey Dr","Raleigh, NC 27616-3369","919-872-1127","$$ - $$$","Vegetarian Friendly"
"204","Zest Cafe and Home Art","4.5","74","8831 Six Forks Rd","Raleigh, NC 27615-2970","919-848-4792","$$ - $$$","American"
"205","Zest Cafe and Home Art","4.5","74","8831 Six Forks Rd","Raleigh, NC 27615-2970","919-848-4792","$$ - $$$","Cafe"
"206","Zest Cafe and Home Art","4.5","74","8831 Six Forks Rd","Raleigh, NC 27615-2970","919-848-4792","$$ - $$$","International"
"207","Kanki Japanese House of Steaks","4.0","185","4325 Glenwood Ave","Raleigh, NC 27612-4532","919-782-9708","$$ - $$$","Japanese"
